"policyConfigID","policyID","addUnlistedPatient","QA","insightActive","connectActive","validFrom","validTill"
11805,656,True,True,True,True,"2024-01-17",NULL
11806,657,True,True,True,True,"2024-01-17",NULL
11807,659,True,True,True,True,"2024-01-17",NULL
11808,661,True,True,True,True,"2024-01-17",NULL
11809,866,True,True,True,True,"2024-01-17",NULL
11810,867,True,True,True,True,"2024-01-17",NULL
11811,868,True,True,True,True,"2024-01-17",NULL
11812,869,True,True,True,True,"2024-01-17",NULL
11813,870,True,True,True,True,"2024-01-17",NULL
11814,871,True,True,True,True,"2024-01-17",NULL
11815,872,True,True,True,True,"2024-01-17",NULL
11816,636,True,True,True,True,"2024-01-17",NULL
11817,873,True,True,True,True,"2024-01-17",NULL
11818,874,True,True,True,True,"2024-01-17",NULL
11819,875,True,True,True,True,"2024-01-17",NULL
11820,876,True,True,True,True,"2024-01-17",NULL
11821,877,True,True,True,True,"2024-01-17",NULL
11822,878,True,True,True,True,"2024-01-17",NULL
11823,928,True,True,True,True,"2024-01-17",NULL
11824,929,True,True,True,True,"2024-01-17",NULL
11825,930,True,True,True,True,"2024-01-17",NULL
11826,931,True,True,True,True,"2024-01-17",NULL
11827,932,True,True,True,True,"2024-01-17",NULL
11828,933,True,True,True,True,"2024-01-17",NULL
11829,934,True,True,True,True,"2024-01-17",NULL
11831,937,False,True,True,True,"2024-01-17",NULL
11833,1884,True,True,True,False,"2024-01-17",NULL
