"documentPlanID","policyS3DocumentMappingID","pbp","cmsContractNumber","carrier","account","group","serviceQualifier","documentType","isDefaultDocument","validFrom","validTill","createdAt","createdBy","updatedAt","updatedBy","legacyDocumentID","isDeleted","s3DocumentMappingID","policyID","policyS3DocumentID","createdAt-2","createdBy-2","updatedAt-2","updatedBy-2","policyS3DocumentID-2","s3DocumentName","s3DocumentURL","createdAt-3","createdBy-3","updatedAt-3","updatedBy-3"
1393,1229,NULL,NULL,"NY03",NULL,NULL,"CMR","1st Additional PDF in SPT",False,"2024-01-03 05:00:00+00",NULL,"2023-12-13 16:43:26.418042+00","216672","2023-12-13 16:43:26.418042+00",NULL,NULL,False,1229,1329,380,"2023-12-13 16:43:26.418042+00","216672","2023-12-13 16:43:26.418042+00",NULL,380,"O65_BCBS_M_1Col_10pt_blk_1c_2023.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/O65_BCBS_M_1Col_10pt_blk_1c_2023.pdf","2023-12-13 16:15:37.43632+00","216672","2023-12-13 16:15:37.43632+00",NULL
1406,1238,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 16:58:11.358873+00","216672","2023-12-14 16:58:11.358873+00",NULL,NULL,False,1238,1838,382,"2023-12-14 16:58:11.358873+00","216672","2023-12-14 16:58:11.358873+00",NULL,382,"MABANHMOv2.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MABANHMOv2.pdf","2023-12-14 16:58:11.358873+00","216672","2023-12-14 16:58:11.358873+00",NULL
1419,1251,NULL,NULL,"2FFA",NULL,NULL,"CMR","1st Additional PDF in SPT",False,"2024-01-01 05:00:00+00",NULL,"2023-12-14 17:27:16.693698+00","216672","2023-12-14 17:27:16.693698+00",NULL,NULL,False,1251,2072,387,"2023-12-14 17:27:16.693698+00","216672","2023-12-14 17:27:16.693698+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL
1432,1261,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 18:33:22.079753+00","216672","2023-12-14 18:33:22.079753+00",NULL,NULL,False,1261,2081,387,"2023-12-14 18:33:22.079753+00","216672","2023-12-14 18:33:22.079753+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL
1445,1274,NULL,NULL,"2FSA","EX352628","004","CMR","1st Additional PDF in SPT",False,"2024-01-01 05:00:00+00",NULL,"2023-12-14 19:15:05.649654+00","216672","2023-12-14 19:15:05.649654+00",NULL,NULL,False,1274,2094,393,"2023-12-14 19:15:05.649654+00","216672","2023-12-14 19:15:05.649654+00",NULL,393,"MACNFIDEHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNFIDEHIv1.pdf","2023-12-14 19:15:05.649654+00","216672","2023-12-14 19:15:05.649654+00",NULL
1458,1281,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 19:57:06.000769+00","216672","2023-12-14 19:57:06.000769+00",NULL,NULL,False,1281,2099,387,"2023-12-14 19:57:06.000769+00","216672","2023-12-14 19:57:06.000769+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL
1471,1294,NULL,NULL,"2FFA","EX352348","016","CMR","1st Additional PDF in SPT",False,"2024-01-01 05:00:00+00",NULL,"2023-12-14 21:11:44.20596+00","216672","2023-12-14 21:11:44.20596+00",NULL,NULL,False,1294,2108,386,"2023-12-14 21:11:44.20596+00","216672","2023-12-14 21:11:44.20596+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL
1483,1304,NULL,NULL,"2FSA","EX352649","003","CMR","1st Additional PDF in SPT",False,"2024-01-01 05:00:00+00",NULL,"2023-12-14 22:24:41.078231+00","216672","2023-12-14 22:24:41.078231+00",NULL,NULL,False,1304,2116,398,"2023-12-14 22:24:41.078231+00","216672","2023-12-14 22:24:41.078231+00",NULL,398,"MACNMEDDNYv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNYv1.pdf","2023-12-14 22:24:41.078231+00","216672","2023-12-14 22:24:41.078231+00",NULL
1496,1314,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 22:37:19.191297+00","216672","2023-12-14 22:37:19.191297+00",NULL,NULL,False,1314,2126,387,"2023-12-14 22:37:19.191297+00","216672","2023-12-14 22:37:19.191297+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL
1508,1326,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 22:43:27.701019+00","216672","2023-12-14 22:43:27.701019+00",NULL,NULL,False,1326,2137,386,"2023-12-14 22:43:27.701019+00","216672","2023-12-14 22:43:27.701019+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL
1520,1338,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 22:55:10.191275+00","216672","2023-12-14 22:55:10.191275+00",NULL,NULL,False,1338,2150,387,"2023-12-14 22:55:10.191275+00","216672","2023-12-14 22:55:10.191275+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL
1545,1363,NULL,NULL,"92S8","RSHPISNP",NULL,"CMR","1st Additional PDF in SPT",False,"2024-01-01 05:00:00+00",NULL,"2023-12-15 02:09:15.986204+00","216672","2023-12-15 02:09:15.986204+00",NULL,NULL,False,1363,2006,411,"2023-12-15 02:09:15.986204+00","216672","2023-12-15 02:09:15.986204+00",NULL,411,"MARSHPIv3.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MARSHPIv3.pdf","2023-12-15 02:09:15.986204+00","216672","2023-12-15 02:09:15.986204+00",NULL
1556,1374,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-15 22:42:32.266394+00","450972","2023-12-15 22:42:32.266394+00",NULL,NULL,False,1374,2050,418,"2023-12-15 22:42:32.266394+00","450972","2023-12-15 22:42:32.266394+00",NULL,418,"MAPD Notice of Discrimination and MLI.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MAPD%20Notice%20of%20Discrimination%20and%20MLI.pdf","2023-12-15 22:41:38.628095+00","450972","2023-12-15 22:41:38.628095+00",NULL
1569,1387,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-05 05:00:00+00",NULL,"2023-12-16 00:22:52.312774+00","450972","2023-12-16 00:22:52.312774+00",NULL,NULL,False,1387,1106,420,"2023-12-16 00:22:52.312774+00","450972","2023-12-16 00:22:52.312774+00",NULL,420,"MLI example.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MLI%20example.pdf","2023-12-16 00:20:42.429361+00","450972","2023-12-16 00:20:42.429361+00",NULL
1585,1403,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-05 05:00:00+00",NULL,"2023-12-20 18:32:40.98267+00","450972","2023-12-20 18:32:40.98267+00",NULL,NULL,False,1403,1116,422,"2023-12-20 18:32:40.98267+00","450972","2023-12-20 18:32:40.98267+00",NULL,422,"2023_1557MBRPOD_22MCID2322 (1).pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/2023_1557MBRPOD_22MCID2322%20%281%29.pdf","2023-12-20 18:32:17.506529+00","450972","2023-12-20 18:32:17.506529+00",NULL
1596,1414,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-04 05:00:00+00",NULL,"2023-12-27 00:47:18.361586+00","450972","2023-12-27 00:47:18.361586+00",NULL,NULL,False,1414,1434,428,"2023-12-27 00:47:18.361586+00","450972","2023-12-27 00:47:18.361586+00",NULL,428,"2024 CMS Updated MLI_CVSH Standard_5366.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/2024%20CMS%20Updated%20MLI_CVSH%20Standard_5366.pdf","2023-12-27 00:47:18.361586+00","450972","2023-12-27 00:47:18.361586+00",NULL
1607,1425,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-04 05:00:00+00",NULL,"2023-12-27 00:58:08.678068+00","450972","2023-12-27 00:58:08.678068+00",NULL,NULL,False,1425,1443,428,"2023-12-27 00:58:08.678068+00","450972","2023-12-27 00:58:08.678068+00",NULL,428,"2024 CMS Updated MLI_CVSH Standard_5366.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/2024%20CMS%20Updated%20MLI_CVSH%20Standard_5366.pdf","2023-12-27 00:47:18.361586+00","450972","2023-12-27 00:47:18.361586+00",NULL
1619,1437,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-04 05:00:00+00",NULL,"2023-12-27 01:11:18.837607+00","450972","2023-12-27 01:11:18.837607+00",NULL,NULL,False,1437,1455,428,"2023-12-27 01:11:18.837607+00","450972","2023-12-27 01:11:18.837607+00",NULL,428,"2024 CMS Updated MLI_CVSH Standard_5366.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/2024%20CMS%20Updated%20MLI_CVSH%20Standard_5366.pdf","2023-12-27 00:47:18.361586+00","450972","2023-12-27 00:47:18.361586+00",NULL
1630,1448,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-04 05:00:00+00",NULL,"2023-12-27 01:24:41.964604+00","450972","2023-12-27 01:24:41.964604+00",NULL,NULL,False,1448,1466,428,"2023-12-27 01:24:41.964604+00","450972","2023-12-27 01:24:41.964604+00",NULL,428,"2024 CMS Updated MLI_CVSH Standard_5366.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/2024%20CMS%20Updated%20MLI_CVSH%20Standard_5366.pdf","2023-12-27 00:47:18.361586+00","450972","2023-12-27 00:47:18.361586+00",NULL
