"documentPlanID","policyS3DocumentMappingID","pbp","cmsContractNumber","carrier","account","group","serviceQualifier","documentType","isDefaultDocument","validFrom","validTill","createdAt","createdBy","updatedAt","updatedBy","legacyDocumentID","isDeleted","s3DocumentMappingID","policyID","policyS3DocumentID","createdAt-2","createdBy-2","updatedAt-2","updatedBy-2","policyS3DocumentID-2","s3DocumentName","s3DocumentURL","createdAt-3","createdBy-3","updatedAt-3","updatedBy-3","policyID-2","policyName","policyTypeID","IsMedicarePolicy","createdAt-4","createdBy-4","updatedAt-4","updatedBy-4","contractID","contractID-2","contractName","clientID","clientID-2","clientName"
1902,1254,NULL,NULL,"2FFA","EX352256",NULL,"CMR","1st Additional PDF in SPT",False,"2024-01-30 05:00:00+00",NULL,"2024-01-27 03:17:44.435558+00","316544","2024-01-27 03:17:44.435558+00",NULL,NULL,False,1254,2075,386,"2023-12-14 17:30:13.359078+00","216672","2023-12-14 17:30:13.359078+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL,2075,"ESI - Centene - H0913",6,True,"2023-11-16 22:03:47.793537+00",NULL,"2023-11-16 22:03:47.793537+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1897,1250,NULL,NULL,"2FKA",NULL,NULL,"CMR","1st Additional PDF in SPT",False,"2024-01-30 05:00:00+00",NULL,"2024-01-27 03:13:06.330973+00","316544","2024-01-27 03:13:43.581521+00","316544",NULL,True,1250,2072,389,"2023-12-14 17:25:06.524826+00","216672","2023-12-14 17:25:06.524826+00",NULL,389,"MACNHENEv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNHENEv1.pdf","2023-12-14 17:25:06.524826+00","216672","2023-12-14 17:25:06.524826+00",NULL,2072,"ESI - Centene - H0562",6,True,"2023-11-16 22:01:25.70462+00",NULL,"2023-11-16 22:01:25.70462+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1418,1250,NULL,NULL,"2FKA",NULL,NULL,"CMR","1st Additional PDF in SPT",False,"2024-01-01 05:00:00+00",NULL,"2023-12-14 17:25:06.524826+00","216672","2024-01-27 03:14:24.201128+00","316544",NULL,False,1250,2072,389,"2023-12-14 17:25:06.524826+00","216672","2023-12-14 17:25:06.524826+00",NULL,389,"MACNHENEv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNHENEv1.pdf","2023-12-14 17:25:06.524826+00","216672","2023-12-14 17:25:06.524826+00",NULL,2072,"ESI - Centene - H0562",6,True,"2023-11-16 22:01:25.70462+00",NULL,"2023-11-16 22:01:25.70462+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1908,1276,NULL,NULL,"2FFA","EX352464",NULL,"CMR","1st Additional PDF in SPT",False,"2024-01-30 05:00:00+00",NULL,"2024-01-27 03:35:09.498857+00","316544","2024-01-27 03:35:09.498857+00",NULL,NULL,False,1276,2095,386,"2023-12-14 19:45:51.61583+00","216672","2023-12-14 19:45:51.61583+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL,2095,"ESI - Centene - H2775",6,True,"2023-11-16 22:23:57.12192+00",NULL,"2023-11-16 22:23:57.12192+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1913,1276,NULL,NULL,"2FFA","	EX352462",NULL,"CMR","1st Additional PDF in SPT",False,"2024-01-30 05:00:00+00",NULL,"2024-01-27 03:36:49.038634+00","316544","2024-01-27 03:36:49.038634+00",NULL,NULL,False,1276,2095,386,"2023-12-14 19:45:51.61583+00","216672","2023-12-14 19:45:51.61583+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL,2095,"ESI - Centene - H2775",6,True,"2023-11-16 22:23:57.12192+00",NULL,"2023-11-16 22:23:57.12192+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1915,1282,NULL,NULL,"2FRA","	EX352583",NULL,"CMR","1st Additional PDF in SPT",False,"2024-01-30 05:00:00+00",NULL,"2024-01-27 03:39:39.626822+00","316544","2024-01-27 03:39:39.626822+00",NULL,NULL,False,1282,2100,395,"2023-12-14 19:58:12.213274+00","216672","2023-12-14 19:58:12.213274+00",NULL,395,"MACNDSNPCAv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNDSNPCAv1.pdf","2023-12-14 19:58:12.213274+00","216672","2023-12-14 19:58:12.213274+00",NULL,2100,"ESI - Centene - H3561",6,True,"2023-11-16 22:27:51.316602+00",NULL,"2023-11-16 22:27:51.316602+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1482,1303,NULL,NULL,"2FFA","EX352209","002","CMR","1st Additional PDF in SPT",False,"2024-01-01 05:00:00+00","2024-01-30 04:59:59.999+00","2023-12-14 22:23:57.65927+00","216672","2024-01-29 13:23:53.382454+00","316544",NULL,False,1303,2116,387,"2023-12-14 22:23:57.65927+00","216672","2023-12-14 22:23:57.65927+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL,2116,"ESI - Centene - H5599",6,True,"2023-11-17 15:50:40.859035+00",NULL,"2023-11-17 15:50:40.859035+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1406,1238,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 16:58:11.358873+00","216672","2023-12-14 16:58:11.358873+00",NULL,NULL,False,1238,1838,382,"2023-12-14 16:58:11.358873+00","216672","2023-12-14 16:58:11.358873+00",NULL,382,"MABANHMOv2.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MABANHMOv2.pdf","2023-12-14 16:58:11.358873+00","216672","2023-12-14 16:58:11.358873+00",NULL,1838,"ESI - Banner Medicare - H5843",6,True,"2022-08-12 18:37:59.958907+00",NULL,"2022-08-12 18:37:59.958907+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1432,1261,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 18:33:22.079753+00","216672","2023-12-14 18:33:22.079753+00",NULL,NULL,False,1261,2081,387,"2023-12-14 18:33:22.079753+00","216672","2023-12-14 18:33:22.079753+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL,2081,"ESI - Centene - H1395",6,True,"2023-11-16 22:10:13.848882+00",NULL,"2023-11-16 22:10:13.848882+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1458,1281,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 19:57:06.000769+00","216672","2023-12-14 19:57:06.000769+00",NULL,NULL,False,1281,2099,387,"2023-12-14 19:57:06.000769+00","216672","2023-12-14 19:57:06.000769+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL,2099,"ESI - Centene - H3499",6,True,"2023-11-16 22:27:05.591617+00",NULL,"2023-11-16 22:27:05.591617+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1496,1314,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 22:37:19.191297+00","216672","2023-12-14 22:37:19.191297+00",NULL,NULL,False,1314,2126,387,"2023-12-14 22:37:19.191297+00","216672","2023-12-14 22:37:19.191297+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL,2126,"ESI - Centene - H6678",6,True,"2023-11-17 17:09:14.33233+00",NULL,"2023-11-17 17:09:14.33233+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1508,1326,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 22:43:27.701019+00","216672","2023-12-14 22:43:27.701019+00",NULL,NULL,False,1326,2137,386,"2023-12-14 22:43:27.701019+00","216672","2023-12-14 22:43:27.701019+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL,2137,"ESI - Centene - H7518",6,True,"2023-11-17 21:07:16.869731+00",NULL,"2023-11-17 21:07:16.869731+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1520,1338,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 22:55:10.191275+00","216672","2023-12-14 22:55:10.191275+00",NULL,NULL,False,1338,2150,387,"2023-12-14 22:55:10.191275+00","216672","2023-12-14 22:55:10.191275+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL,2150,"ESI - Centene - H9387",6,True,"2023-11-17 21:26:30.433404+00",NULL,"2023-11-17 21:26:30.433404+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1545,1363,NULL,NULL,"92S8","RSHPISNP",NULL,"CMR","1st Additional PDF in SPT",False,"2024-01-01 05:00:00+00",NULL,"2023-12-15 02:09:15.986204+00","216672","2023-12-15 02:09:15.986204+00",NULL,NULL,False,1363,2006,411,"2023-12-15 02:09:15.986204+00","216672","2023-12-15 02:09:15.986204+00",NULL,411,"MARSHPIv3.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MARSHPIv3.pdf","2023-12-15 02:09:15.986204+00","216672","2023-12-15 02:09:15.986204+00",NULL,2006,"ESI - RiverSpring - H6776",6,True,"2023-10-19 21:34:09.777225+00",NULL,"2023-10-19 21:34:09.777225+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
